COD	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
BE10	7660.00	28.50	2.14	17.30	6.50	65.20	19700.00	2196.18	29.69	3022.00
BE21	678.80	10.80	2.14	5.70	2.70	75.90	22400.00	2246.72	21.40	4264.00
BE22	373.80	7.60	2.14	3.40	3.80	75.00	21600.00	2278.86	29.27	2198.00
BE23	523.40	5.30	2.14	4.40	2.40	80.00	23300.00	2186.18	22.56	3754.00
BE24	558.70	7.00	2.14	5.80	1.20	73.80	25000.00	2226.46	30.59	2953.00
BE25	386.20	6.90	2.14	5.30	2.30	78.00	23100.00	2203.27	13.96	3594.00
BE31	375.80	10.20	2.14	10.10	6.70	74.70	23900.00	2294.80	37.61	1236.00
BE32	357.30	20.10	2.14	8.40	9.30	61.40	18700.00	2317.26	31.81	2348.00
BE33	291.60	18.40	2.14	9.40	5.90	64.80	19600.00	2512.21	40.26	2202.00
BE34	66.40	16.00	2.14	8.50	2.40	72.50	20700.00	2813.43	8.71	353.00
BE35	137.80	16.90	2.14	6.90	4.30	67.50	20100.00	2466.87	29.29	1109.00
BG31	35.90	33.80	2.14	19.50	22.50	66.80	9300.00	2324.47	225.19	317.00
BG32	47.10	23.20	2.14	20.00	24.60	73.30	9800.00	2310.49	239.06	417.00
BG33	56.70	20.00	2.14	12.90	19.70	76.90	10300.00	2218.87	207.74	1176.00
BG34	48.50	25.30	2.14	13.60	20.70	74.50	9300.00	1956.03	291.34	1135.00
BG41	99.70	15.50	2.14	13.80	17.60	81.70	16700.00	2650.51	64.56	3716.00
BG42	58.90	28.70	2.14	14.80	18.70	72.70	10200.00	2345.32	197.84	1306.00
CZ01	2714.20	6.50	4.18	13.00	1.90	84.40	20500.00	2759.24	62.98	4949.00
CZ02	131.80	8.00	4.18	4.90	1.60	83.50	17400.00	2934.98	30.74	4510.00
CZ03	72.10	8.70	4.18	5.40	1.20	82.30	15200.00	3090.21	15.05	3544.00
CZ04	129.10	14.80	4.18	9.60	5.30	79.20	14000.00	3066.97	33.49	2489.00
CZ05	123.60	10.00	4.18	5.10	3.10	80.90	15000.00	3168.06	15.22	4025.00
CZ06	124.80	10.20	4.18	5.30	2.60	81.30	15700.00	3050.78	39.13	5713.00
CZ07	132.00	10.20	4.18	5.40	3.40	80.10	14700.00	3159.39	32.71	3664.00
CZ08	222.80	14.20	4.18	8.10	2.90	78.50	14400.00	3177.99	25.17	2583.00
DK01	772.00	14.10	2.69	19.10	7.30	82.00	18800.00	2986.50	2.12	1091.00
DK02	119.60	10.90	2.69	9.30	6.00	78.90	17200.00	2921.35	2.29	626.00
DK03	102.80	11.80	2.69	11.30	6.90	78.80	16700.00	2954.05	4.74	618.00
DK04	105.80	11.90	2.69	16.50	6.10	80.00	17000.00	3091.93	3.05	879.00
DK05	76.90	11.10	2.69	11.60	6.40	78.50	16600.00	3098.77	3.30	400.00
DE11	393.10	10.50	2.52	12.00	6.60	82.80	26100.00	2646.76	35.15	1169.00
DE12	411.40	12.90	2.52	12.70	6.50	81.40	25100.00	2514.45	47.28	674.00
DE13	247.80	12.00	2.52	12.40	6.80	83.70	25500.00	2651.03	39.88	669.00
DE14	216.70	11.70	2.52	11.50	5.80	84.30	25800.00	2931.84	12.79	632.00
DE21	274.50	10.20	2.52	14.60	4.00	84.00	30000.00	2907.31	19.20	1517.00
DE24	146.40	10.00	2.52	10.30	3.10	82.10	24600.00	3013.68	23.88	257.00
DE25	246.70	14.40	2.52	12.60	4.20	81.70	25200.00	2857.92	27.13	551.00
DE26	154.90	12.90	2.52	10.40	2.90	82.10	24900.00	2721.55	27.20	340.00
DE27	193.30	12.30	2.52	7.70	2.40	84.10	25800.00	2955.60	13.71	641.00
DE30	4320.50	14.90	2.52	12.90	2.90	78.90	22300.00	2614.14	82.54	489.00
DE40	87.60	13.40	2.52	8.00	4.20	82.00	22200.00	2741.35	61.08	914.00
DE50	1754.80	20.00	2.52	11.30	10.90	73.90	22100.00	2617.50	38.26	166.00
DE60	2596.20	18.80	2.52	16.80	8.00	79.40	25800.00	2720.01	26.80	371.00
DE71	542.80	14.10	2.52	13.30	5.80	78.80	25100.00	2489.79	66.54	1337.00
DE72	194.20	17.00	2.52	11.80	7.40	79.10	22700.00	2751.75	21.99	331.00
DE80	70.60	17.30	2.52	8.00	9.60	79.20	21600.00	2824.24	33.63	576.00
DE91	196.70	17.50	2.52	11.30	6.60	79.40	23100.00	2725.47	26.69	275.00
DE92	237.30	17.40	2.52	12.90	7.50	80.80	22800.00	2582.71	37.84	596.00
DE93	112.00	13.80	2.52	13.20	5.90	82.40	23800.00	2703.90	29.44	554.00
DE94	171.60	18.20	2.52	14.30	8.10	81.30	22700.00	2559.09	18.91	1136.00
DEA1	1007.80	19.90	2.52	13.00	6.90	77.20	23300.00	2284.95	39.55	1361.00
DEA2	612.50	14.50	2.52	13.70	6.60	78.90	23800.00	2400.23	40.37	1222.00
DEA3	381.80	16.60	2.52	12.30	7.30	79.10	23100.00	2424.20	30.62	812.00
DEA4	317.60	13.60	2.52	10.40	6.80	79.80	24100.00	2606.10	32.13	759.00
DEA5	447.40	19.80	2.52	11.70	7.40	78.10	22700.00	2719.70	23.22	805.00
DEB1	188.70	16.80	2.52	12.30	8.20	81.30	23700.00	2645.46	35.82	484.00
DEB3	303.70	11.50	2.52	12.00	8.30	78.50	24000.00	2406.97	61.04	534.00
DED2	204.10	13.40	2.52	10.30	2.90	82.80	22000.00	2829.11	51.94	734.00
DED4	215.00	15.00	2.52	6.10	4.10	83.60	21900.00	3011.56	37.83	616.00
DED5	272.10	17.10	2.52	10.20	4.10	83.20	21200.00	2656.03	55.21	435.00
DEE0	106.70	19.80	2.52	7.30	2.60	80.10	21200.00	2673.65	46.25	786.00
DEF0	190.20	12.80	2.52	13.10	5.20	80.80	24700.00	2785.58	13.88	1133.00
DEG0	130.90	15.00	2.52	9.40	9.50	82.10	21500.00	2890.57	29.43	606.00
IE04	36.70	20.60	2.72	4.40	16.20	77.80	17800.00	2630.51	0.00	3312.00
IE05	58.60	14.50	2.72	2.90	12.80	77.00	19500.00	2423.84	0.00	5203.00
IE06	179.90	10.10	2.72	4.10	11.70	79.20	18700.00	2660.05	0.16	8748.00
EL30	1003.40	13.80	3.14	25.70	46.40	69.30	16200.00	1107.15	634.23	7931.00
EL41	51.30	24.60	3.14	22.40	41.40	67.30	11800.00	1088.06	523.88	473.00
EL42	62.50	15.80	3.14	21.80	42.50	64.40	16500.00	634.84	609.45	1514.00
EL43	75.00	10.10	3.14	21.40	40.40	68.80	13300.00	923.89	418.15	1870.00
EL51	40.00	26.10	3.14	28.40	57.60	62.80	11700.00	1875.60	301.82	967.00
EL52	96.60	23.80	3.14	31.40	44.30	63.60	13200.00	1698.58	412.31	3317.00
EL53	27.30	25.40	3.14	27.80	41.20	58.80	13800.00	2342.34	139.61	353.00
EL54	35.10	15.80	3.14	24.70	32.90	63.50	13100.00	1678.85	290.21	705.00
EL61	49.10	18.70	3.14	23.50	39.50	64.80	12300.00	1783.82	341.39	1160.00
EL62	89.30	22.60	3.14	27.40	59.40	64.00	17300.00	947.05	547.66	935.00
EL63	58.40	26.70	3.14	28.10	47.20	62.40	11700.00	1282.78	362.27	916.00
EL64	32.80	25.40	3.14	30.60	35.00	66.60	12000.00	1585.11	355.70	747.00
EL65	34.70	23.40	3.14	28.00	58.30	68.30	12600.00	1317.96	393.99	1085.00
ES11	91.80	18.00	1.97	4.80	9.10	69.10	17300.00	1532.61	76.32	12854.00
ES12	95.20	20.10	1.97	10.40	7.60	64.40	19100.00	1642.26	25.23	4447.00
